"","TestSignal_plasma_09202017_50RP_014_NEG_matrix_1","TestSignal_plasma_09202017_50RP_015_NEG_matrix_2","TestSignal_plasma_09202017_50RP_016_NEG_matrix_3","TestSignal_plasma_09202017_50RP_017_NEG_NIST_1","TestSignal_plasma_09202017_50RP_018_NEG_NIST_2","TestSignal_plasma_09202017_50RP_019_NEG_NIST_3"
"group","matrix","matrix","matrix","plasma","plasma","plasma"
"222.9383/286.157","4309.39668597442","4421.5452839418","4020.69489302029","21345.2620109127","23883.0557653249","22188.1837777274"
"223.1339/391.041","5526.09049295994","4753.67548361605","3877.82112740469","41224.3811579697","40114.3087981853","39199.1570852694"
"224.0624/242.503","15353.6591950105","6873.27075852029","5075.45132481817","1520779.10646864","1514153.02368641","1543700.87310041"
"224.5638/242.503","2832.69570303708","916.708253448486","588.220089045563","381122.192437429","343117.316280431","344454.394758276"
"224.9988/238.258","5741.31971577567","5200.00709129394","5224.58006166017","53786.2710604356","55591.1578327178","51469.4745949072"
"225.563/241.9","300.657010361033","115.78031746028","0","19692.5545701468","23436.3319738607","21895.8165420532"
"226.0181/160.054","1940.81010804636","2085.63093883244","2180.3379419637","134444.973526001","135181.351070227","121844.320406294"
"226.9202/237.653","3304.11901133259","3350.73650742696","4006.22604346524","64782.4483587859","69193.4375562054","62279.0338824722"
"226.9662/21.218","12498.7905199847","10774.8037577369","14149.8550556183","139780.682123464","171748.225757587","145230.737802995"
"227.1286/317.683","5226.27556496845","5575.44487755454","4891.201459563","59974.8023748256","60086.1877450021","35966.7960923541"
"227.2015/542.001","2527.81127226467","3435.42373535978","1959.54475253978","15640.9564231189","18216.4873711415","15295.3816449151"
"228.1602/293.428","11540.3186936376","11458.5751639366","10523.9326680383","38084.65068359","36286.9272471248","36084.5776290261"
"228.9175/237.652","2771.83624684553","2161.07716157314","1630.58103479445","21842.6520329195","24478.1450056054","18139.8999870693"
"229.0538/278.879","3468.75358364904","3435.15018049193","2839.53741610528","171337.159641308","172494.592269325","161834.636232637"
"232.9946/169.754","4533.64332460571","4560.71381277042","3557.31402203852","29427.8571333227","26486.137866421","24662.6425626452"
"234.1504/466.218","1607.7020937152","1537.43446354866","2084.24149502511","5687.77093296306","5977.32636894769","6875.32066447566"
"234.9837/281.304","5791.4994786673","4920.65953731806","5219.99072310934","50290.1557019575","50545.0523094145","52266.180582748"
"237.0228/263.725","4496.8096975469","5414.57698019161","4689.23826195511","42015.5052255615","41050.8014919826","39662.4664583304"
