"","x"
"922.68976_763.3",2898
"923.49571_637.8",2901
"923.56505_965.2",166
"923.58135_712.9",2900
"923.6461_727.4",2900
"923.66583_751.7",2892
"923.69299_763.3",2898
"923.81647_940.3",44
"924.49923_637.8",2896
"924.51731_673.6",2897
"924.59321_719",2901
"924.64896_727.4",2901
"925.42232_599.6",2889
"925.50151_638.4",2903
"925.5968_719",2902
"925.66191_741.4",2898
"926.42598_599",2890
"926.66507_741.4",2900
"927.67739_757.8",2901
"928.83311_939.7",44
"929.50624_646.9",2899
"929.53669_716",2897
"929.6839_757.8",2896
"929.83364_939.7",64
"931.52217_666.9",2900
"931.5511_732.3",2898
"932.55522_732.3",2900
"932.59857_721.4",2899
"933.45176_638.4",2888
"933.67649_572.3",2850
"934.50265_662",2897
"934.53242_702.1",2892
"934.61391_728.7",2896
"934.81098_940.3",134
"935.5057_662",2899
"936.51837_671.7",2902
"937.51153_652.9",2895
"937.6555_734.2",2880
"938.51471_652.9",2900
"938.53437_684.5",2905
"938.64641_745.7",298
"939.48245_646.9",2904
"939.53747_684.5",2901
"939.60219_719.6",2899
"940.45145_223.1",2896
"940.55003_703.2",2902
"940.67975_746.8",2886
"940.79063_940.9",39
"941.45584_223.1",2897
"941.55329_703.3",2897
"943.49383_646.9",2898
"944.49768_646.9",2897
"944.67562_598.4",2895
"944.94017_529.3",60
"945.50926_666.3",2901
"945.68157_599",2898
"946.51228_666.3",2883
"946.57067_641.4",2898
"946.57772_708.1",2898
"946.81432_939.7",130
"947.58008_708.1",2893
"947.60988_483.5",2900
"948.55525_702.7",2890
"948.59348_718.4",2899
"949.51128_646.9",2901
"949.59693_718.4",2900
"950.51479_646.9",2898
"950.60817_726.9",2897
"951.23312_689.3",2873
"951.5271_666.3",2900
"951.61093_727.5",2900
"951.68132_742.6",2887
"952.23331_689.3",2883
"952.50581_703.2",2873
"952.53003_666.3",2900
"952.62447_572.9",2897
"953.23245_688.7",2877
"953.53634_716",2901
"953.56348_472.6",2897
"953.61652_730.5",2891
"953.62752_572.3",2901
"954.23214_688.7",2837
"954.50642_730.5",2898
"954.54018_716",2899
"954.74303_944",95
"955.23056_688.7",2870
"957.71072_598.4",2643
"958.46458_646.9",2901
"958.553_724.5",2895
"959.46751_646.9",2899
"960.51877_673",2900
"960.62948_732.9",2888
"961.52191_673",2891
"961.60356_666.3",2894
"961.63325_733.5",2899
"962.53329_677.2",2903
"962.56104_724.5",2893
"962.64531_746.9",2899
"962.82734_939.7",52
"963.53706_677.2",2897
"963.64862_746.9",2887
"964.54949_695.4",2897
"965.61742_723.9",2896
"965.70531_598.4",2898
"967.63353_739",2898
"968.58103_725",2902
"968.63667_739",2901
"969.58491_725",2902
"969.64018_739.5",2894
"971.60988_473.2",2897
"971.65254_741.5",2898
"972.58602_650.5",2902
"972.61366_472.6",2903
"973.62506_487.7",2893
"974.60229_669.9",2903
"974.6285_487.1",2888
"974.82228_939.1",34
"975.60552_669.9",2903
"976.28741_25.6",2889
"976.5056_695.4",2722
"976.52927_656.6",2850
"977.54168_675.4",2893
"977.56055_473.3",2894
"978.49067_660.2",2896
"978.56649_473.8",2899
"979.49483_660.2",2898
"979.63255_734.1",2898
"980.50888_679.6",2898
"980.63581_734.1",2899
"982.65246_748.7",2899
"985.46601_637.8",2894
"985.82083_939.7",2781
"986.53404_680.2",2898
"987.53684_680.2",2900
"988.44816_660.2",65
"988.5492_696",2898
"988.66058_751.1",2901
"989.46591_615.4",2881
"990.5659_714.7",2901
"991.48284_637.8",2896
"991.569_714.2",2897
"991.6328_727.5",2899
"991.80455_939.1",26
"992.48637_637.8",2899
"992.58035_719",2897
"992.63567_727.5",2897
"993.58364_719.6",2899
"993.64886_741.4",2899
"994.65233_741.4",2897
"994.93669_552.3",65
"995.60983_473.8",2894
"996.61306_473.2",2895
"996.82008_939.7",54
"997.49474_647.5",2897
"997.6712_757.8",2899
"998.62797_485.3",2905
"999.6406_496.1",2901
"1001.43902_637.8",2897
"1001.56212_473.8",2893
"1002.49017_661.4",2897
"1003.97518_249.2",2895
"1004.47556_248.6",2899
"1004.53712_719",2900
"1005.49841_652.9",2898
"1005.5395_719",2882
"1005.60817_742",2891
"1006.50163_652.9",2898
"1007.46787_646.3",2899
"1008.77828_942.1",128
"1009.54754_703.9",2898
"1011.48135_646.9",2896
"1012.66105_599",2847
"1013.7738_679.6",2840
"1015.63918_588.1",2890
"1017.49853_646.9",2899
"1018.5014_646.9",2901
"1019.51394_665.7",2904
"1019.60962_471.4",2897
"1019.68056_599",2860
"1021.5234_716",2900
"1022.49364_730.5",2900
"1022.52742_716.6",2893
"1022.60646_731.1",2894
"1023.64129_490.1",2900
"1025.25138_707.5",2827
"1025.63305_479.2",2900
"1025.69743_599",2852
"1026.25297_706.9",2841
"1026.45093_646.9",2904
"1026.63634_479.2",2900
"1027.25024_706.9",2851
"1027.45494_646.9",2894
"1027.63386_479.2",2898
"1028.61676_733.6",2890
"1028.63578_479.2",2896
"1030.52026_677.2",2896
"1030.81352_940",108
"1031.52633_678.4",2896
"1031.63164_449.7",2892
"1033.54595_696",2900
"1035.62022_739",2900
"1035.66318_479.2",2897
"1036.56856_725",2897
"1036.62342_739",2897
"1036.66631_479.2",2899
"1037.62429_738.9",2902
"1037.66878_479.2",2899
"1038.67144_479.2",2897
"1039.59723_472.6",2894
"1039.67384_479.2",2900
"1040.46156_660.8",2867
"1042.80917_939.1",53
"1045.64625_458.2",2896
"1045.68262_497.9",2889
"1046.47719_659.6",2895
"1046.64979_457.6",2881
"1047.61894_734.2",2900
"1047.69703_496.7",2896
"1048.49434_679",2902
"1048.62263_733.6",2891
"1048.70116_496.7",2896
"1048.91355_588.1",2871
"1049.43959_637.8",2864
"1049.4991_679.6",2902
"1049.63604_749.2",2898
"1049.91865_587.5",2902
"1050.05753_87.7",2899
"1050.64013_749.2",2896
"1051.69653_598.4",2876
"1052.6527_479.9",2876
"1053.45298_638.4",2884
"1054.52068_680.2",2900
"1055.63103_447.9",2889
"1057.64629_458.2",2898
"1058.02595_237.7",2900
"1058.55322_715.3",2882
"1058.65047_458.2",2887
"1059.0293_237.7",2898
"1059.47_637.8",2897
"1059.56128_714.2",2895
"1059.61939_728.1",2900
"1059.66219_470.2",2898
"1059.66704_762.6",2854
"1060.47362_637.8",2893
"1060.56748_719.6",2900
"1060.62297_728",2899
"1060.66535_470.2",2898
"1061.57329_719.6",2898
"1061.67715_482.3",2896
"1062.63929_742",2899
"1062.6806_482.9",2897
"1063.59701_473.2",2898
"1063.65197_758.3",2891
"1063.68349_482.9",2898
"1064.65589_758.3",2899
"1064.68614_482.9",2896
"1064.80701_939.7",68
"1065.80689_939.7",50
"1065.92509_952.7",47
"1066.6531_639",2898
"1066.92759_952.4",27
"1068.66711_658.4",2900
"1069.42604_638.4",2895
"1069.67076_657.8",2901
"1070.47771_660.8",2894
"1070.67367_658.4",2894
"1072.49152_672.3",2893
"1072.52421_719.6",2894
"1073.48617_652.9",2901
"1073.59485_742",2898
"1073.63331_466",2896
"1074.01928_88.3",2894
"1074.48629_652.9",2901
"1074.63649_465.4",2895
"1075.45563_646.3",2904
"1075.63424_465.4",2897
"1075.69329_493.7",2895
"1076.69681_493.7",2903
"1076.86374_587.5",2902
"1077.6675_490.7",2898
"1078.66848_491.3",2899
"1079.46735_646.9",2897
"1079.63151_446.1",2901
"1081.69522_521.4",2896
"1082.6986_522",2898
"1083.66245_466",2896
"1083.6958_522",2897
"1084.66566_466",2896
"1085.48514_646.9",2900
"1085.66862_466",2882
"1086.48784_647.5",2899
"1086.68067_482.3",2896
"1087.69353_491.3",2899
"1088.69681_491.3",2901
"1089.51086_716.6",2899
"1089.69961_491.3",2900
"1090.61982_465.4",2880
"1090.70205_491.3",2894
"1091.72489_522",2899
"1092.72816_522",2898
"1093.73095_522",2899
"1094.73404_522",2898
"1095.44119_646.9",2876
"1095.73646_521.4",2895
"1096.49195_673",2875
"1098.63735_467.2",2893
