"","x"
"337.95195_955.5",33
"338.19399_555.3",2895
"338.2082_476.2",2898
"338.78756_949.4",98
"338.85934_969.4",23
"338.89265_74.6",2899
"339.10263_417.7",2895
"339.19937_489.7",2905
"339.23255_573.5",2896
"339.2526_489.5",2901
"339.85878_946.4",105
"340.20302_489.7",2901
"340.20985_588.7",2893
"340.23642_573.5",2900
"340.78537_949.4",92
"340.7853_950",2900
"340.93968_947",53
"341.0123_87.1",2903
"341.22261_629.9",2904
"341.23906_573.5",2900
"341.26958_514.2",2896
"341.78811_950",130
"341.86162_946.4",75
"342.24202_573.5",2895
"342.82502_957.9",1170
"342.94149_946.4",154
"342.94195_947",2900
"342.97923_346.2",86
"343.24843_428",107
"343.85645_947",48
"343.89719_949.4",69
"344.2798_525.7",2896
"344.85234_947",55
"344.97935_295.3",27
"345.03167_406.2",2769
"345.10947_456.5",2845
"345.10877_455.8",46
"345.13148_430.4",75
"345.15551_258.9",2895
"345.20395_547.5",2894
"345.27572_356.5",2897
"345.85476_947.6",66
"346.15908_258.3",2900
"346.85281_947",51
"347.09249_87.3",2894
"347.15154_438.3",2903
"347.22001_571.7",2897
"347.24261_323.1",2906
"347.25846_545.6",2898
"348.22347_571.7",2899
"348.93883_321.3",27
"348.99872_962.1",159
"349.14813_397.1",2898
"349.23538_599.6",2901
"349.25076_556.5",2904
"349.87339_947.6",54
"349.90163_951.8",64
"350.1251_415.3",2900
"350.15075_197.6",2901
"350.20976_409.2",2897
"350.23894_599",2896
"350.85793_957.6",60
"350.89629_416.5",56
"351.0526_417.1",2811
"351.06641_283.1",2895
"351.15352_197.6",2896
"351.22074_497.9",2896
"351.25104_629.9",2900
"351.25105_680.2",2899
"351.86665_946.4",127
"352.08587_255.2",2901
"352.11222_246.1",2895
"352.22394_498.3",2898
"352.25467_629.9",2897
"352.70704_949.4",222
"352.8534_957.9",130
"352.89742_30.8",174
"353.17885_423.8",2891
"353.21242_502.1",2874
"353.85575_957.9",47
"353.92608_950",47
"354.70397_949.4",1066
"354.85659_957.3",75
"354.93323_32.7",2901
"355.06141_335.3",2878
"355.09754_273.4",2891
"355.15767_588.1",2901
"355.22715_522",2904
"355.28465_635.4",2900
"355.92317_950",59
"356.0293_349.2",2886
"356.28787_636",2899
"356.87516_957.3",79
"356.91564_947.6",54
"357.09309_391",2894
"357.18964_535.3",109
"357.84951_948.2",141
"357.91599_947.6",49
"358.91458_947.9",31
"359.07999_267.4",2901
"359.21005_283.1",2892
"359.29461_638.4",2899
"361.18073_542",2905
"361.96033_951.2",38
"362.23687_474.4",2900
"362.875_950.6",844
"362.93728_939.7",60
"363.17698_541.4",2890
"363.25335_494.9",2893
"363.95502_951.2",83
"364.2103_571.7",2899
"364.95624_951.2",52
"365.13999_423.2",16
"365.14254_274",2898
"365.2361_520.2",2893
"365.26917_509.4",2902
"366.23899_519.6",2887
"366.27266_510",2893
"367.09726_417.7",2900
"367.1582_292.2",2900
"367.21536_459.4",2897
"368.21923_459.4",2903
"368.24113_629.9",2894
"368.89775_365.6",2898
"368.97634_367.4",2898
"369.15957_292.2",2900
"369.17398_310.4",2898
"369.17367_280.1",2898
"369.17366_337.7",2901
"369.23843_284.3",2898
"369.3365_587.5",2899
"369.97981_366.8",2894
"370.00169_956.1",54
"370.16044_292.2",2900
"370.17699_311",2898
"370.89397_365.6",2854
"371.22021_572.9",2902
"371.8982_948.8",64
"372.22408_572.9",2894
"372.24625_458.3",29
"372.89948_948.8",78
"373.1318_541.4",2885
"373.23627_588.7",2867
"373.84844_947",2875
"373.95325_349.8",23
"373.9532_349.2",2853
"374.24444_345",2903
"374.89384_947",168
"375.04269_460.1",2868
"375.14443_271",2895
